seqnum,sex,province,age,DEP_TOTAL,Cluster
940,0,10,34,1780.2,0
941,1,10,55,3674.36,0
942,0,10,63,43447.64,0
943,1,10,65,14511.57,0
944,0,10,41,4461.1,0
945,0,10,68,56567.99,0
946,0,10,46,140.25,0
947,0,10,59,878.84,0
948,0,10,56,1974.74,0
949,0,10,56,25395.03,0
950,0,10,51,3846.44,0
951,1,10,51,4232.88,0
952,1,10,64,6947.12,0
953,1,10,57,7264.98,0
954,1,10,63,5608.01,0
955,0,10,61,200.41,0
956,0,10,62,5550.06,0
957,1,10,45,5012.98,0
958,1,10,49,5566.48,0
959,1,10,53,19227.41,0
960,0,10,41,5226.2,0
961,0,10,59,4948.26,0
962,0,10,41,1200.62,0
963,0,10,61,2593.92,0
964,0,10,58,13.6,0
965,0,10,46,1984.32,0
966,0,10,61,76.66,0
967,0,10,45,488.55,0
968,0,10,70,1471.98,0
969,0,10,52,10002.23,0
970,0,10,62,219841.93,3
971,1,10,49,17038.82,0
972,0,10,51,1996.75,0
973,0,19,50,10.79,0
974,0,10,48,1874.54,0
975,0,10,48,1781.9,0
976,0,10,44,7862.89,0
977,0,10,44,2275.21,0
978,1,10,57,953.81,0
979,1,10,55,11.9,0
980,1,10,53,490.97,0
981,1,10,53,607.62,0
982,1,10,47,1346.19,0
983,0,10,54,0.0,0
984,0,10,54,163409.69,3
985,1,10,39,2229.5,0
986,0,10,46,13.37,0
987,0,10,43,43809.96,0
988,1,10,44,29641.33,0
989,0,10,62,69.75,0
990,0,23,56,36278.53,0
991,0,10,58,3301.72,0
992,0,10,63,22519.57,0
993,0,10,65,36.74,0
994,0,10,57,359574.41,2
995,0,10,48,27016.35,0
996,1,10,51,16170.78,0
997,1,10,43,6742.55,0
998,1,10,50,4020.1,0
999,0,10,63,6484.17,0
1000,0,10,48,8354.47,0
