seqnum,sex,province,age,DEP_TOTAL,Cluster
217,1,10,60,13734.3,0
218,1,10,60,9704.94,0
219,1,10,65,1684.95,0
220,1,10,64,7964.93,0
221,0,10,56,2504.27,0
222,1,10,63,3502.84,0
223,0,10,56,5316.51,0
224,1,10,55,3066.94,0
225,1,10,58,2027.33,0
226,1,10,60,9057.09,0
227,1,10,72,9230.05,0
228,1,10,67,316.55,0
229,1,10,57,296.36,0
230,1,10,58,20398.86,0
231,0,10,52,1001568.38,4
232,1,10,72,1244.98,0
233,1,10,69,14802.51,0
234,0,10,61,5715.36,0
235,0,10,75,7970.66,0
236,1,1,168,0.0,0
237,1,10,50,193538.46,3
238,1,10,77,82258.34,3
239,0,10,54,118324.4,3
240,0,10,63,4228.08,0
241,0,10,80,5936.68,0
242,0,10,69,312.91,0
243,0,10,48,32382.29,0
244,1,10,51,12253.38,0
245,1,1,87,1292.87,0
246,0,10,51,15030.79,0
247,0,10,62,1986.11,0
248,0,10,51,22835.89,0
249,1,10,57,27696.35,0
250,0,10,56,118122.7,3
251,1,10,47,7954.91,0
252,1,0,52,0.0,0
253,0,10,73,734.85,0
254,1,10,71,3184.48,0
255,1,10,73,132.89,0
256,0,10,79,1472.09,0
257,0,10,54,2268.66,0
258,1,10,66,5816.04,0
259,0,10,50,19659.7,0
260,1,10,45,5713.13,0
261,0,10,58,11060.56,0
262,1,10,54,2638.67,0
263,1,10,57,13797.63,0
264,0,10,65,273.23,0
265,0,10,65,1171.58,0
266,1,1,85,11197.58,0
267,1,10,55,27871.74,0
268,1,10,60,61439.55,0
269,0,10,62,42976.89,0
270,1,10,75,1301.61,0
271,0,10,63,316.47,0
272,0,10,53,4924171.65,1
273,0,10,57,9602.0,0
274,1,10,47,4941.43,0
275,0,10,57,12171.59,0
276,1,10,49,4387.45,0
277,1,10,54,4971.91,0
278,0,10,65,67.46,0
279,1,8,77,0.0,0
280,1,10,60,3572.58,0
281,0,10,55,4092.43,0
282,0,10,68,75.18,0
283,1,10,57,10820.5,0
284,1,1,79,7782.78,0
285,1,10,51,16652.59,0
286,1,10,64,26706.37,0
287,0,10,43,0.0,0
288,0,10,49,1757.07,0
289,0,10,52,34769.24,0
290,1,10,63,59.54,0
291,1,10,59,2047.39,0
292,1,10,61,12867.07,0
293,0,10,66,239.74,0
294,0,10,62,238355.9,3
295,1,10,48,28014.64,0
296,1,10,45,57.5,0
297,0,10,58,47559.89,0
298,0,10,65,5662.22,0
299,0,10,51,13719.78,0
300,0,23,59,785.45,0
301,0,10,49,102.24,0
302,1,10,80,347768.59,2
303,1,10,39,0.0,0
304,1,10,59,6181.74,0
305,0,10,53,32893.71,0
306,1,10,55,3220.48,0
307,0,10,71,9554.05,0
308,0,10,61,578943.54,2
309,0,10,52,26979.65,0
310,0,10,55,879207.99,4
311,0,10,63,848.38,0
312,0,10,62,6283.12,0
313,0,10,50,152438.83,3
314,0,10,49,57062.63,0
315,1,10,53,4474.77,0
316,0,10,72,19330.37,0
317,1,10,69,13383.98,0
318,0,10,55,2593.36,0
319,0,10,64,55810.59,0
320,1,10,46,5077.6,0
321,1,10,69,684.46,0
322,1,10,48,2381.94,0
323,1,10,41,2119.55,0
324,0,1,82,2121.15,0
325,0,10,71,2105.01,0
326,0,14,60,2011.19,0
327,1,10,75,3941.19,0
328,1,10,60,2036.72,0
329,1,10,60,7164.53,0
330,1,10,64,28576.04,0
331,0,10,65,29342.14,0
332,0,10,53,4751.87,0
333,1,10,51,226.93,0
334,0,10,61,10059.31,0
335,0,10,54,74998.6,3
336,0,17,53,2628.05,0
337,0,10,56,20532.09,0
338,0,10,45,48048.13,0
339,0,10,55,8091.08,0
340,0,10,77,37.95,0
341,0,10,70,2496.01,0
342,1,10,53,1676.68,0
343,0,10,54,13853.49,0
344,0,9,52,156035.42,3
345,1,10,58,13481.84,0
346,1,10,74,10815.17,0
347,1,10,61,12046.77,0
348,1,10,60,3468.83,0
349,1,10,54,59385.51,0
350,1,10,54,8831.88,0
351,0,10,64,14284.8,0
352,0,10,47,12155.61,0
353,0,10,85,2336.45,0
354,0,10,57,4261.0,0
355,0,10,51,13618.62,0
356,1,10,45,2102.96,0
357,0,10,57,73034.76,3
358,0,10,56,23090.85,0
359,1,10,49,2324.05,0
360,0,10,72,110977.52,3
361,0,10,51,8290.31,0
362,1,10,58,6212.67,0
363,1,1,77,0.0,0
364,0,10,48,2096.43,0
365,1,10,66,11529.85,0
366,0,10,77,0.0,0
367,0,10,43,2587.95,0
368,1,10,66,327.34,0
369,0,10,54,10261.13,0
370,0,10,50,12256.57,0
371,0,10,50,2018.76,0
372,1,10,65,34810.89,0
373,1,10,48,177.64,0
374,0,10,71,1285.45,0
375,0,10,59,28793.13,0
376,0,10,67,3036.66,0
377,1,10,68,3094.16,0
378,1,10,59,41817.88,0
379,1,10,53,2967.45,0
380,1,10,62,1453.22,0
381,1,10,51,3973.19,0
382,0,10,43,5914.58,0
383,0,10,49,29658.82,0
384,1,22,47,4495.88,0
385,0,10,61,21672.47,0
386,0,10,65,0.0,0
387,0,10,69,4023.87,0
388,0,10,64,357.62,0
389,0,10,59,20386.82,0
390,0,10,59,27973.33,0
391,1,1,83,17347.97,0
392,0,10,60,3982.37,0
393,0,10,60,53105.26,0
394,1,10,48,5801.89,0
395,1,10,48,4008.42,0
396,0,10,72,67538.38,3
397,0,10,50,2034.45,0
398,1,10,51,17445.57,0
399,0,10,64,13438.3,0
400,0,10,66,1.35,0
401,1,10,50,1996.97,0
402,1,10,58,6103.88,0
403,1,10,64,26208.35,0
404,0,10,59,22340.87,0
405,0,10,57,256008.86,3
406,0,10,64,17178.29,0
407,0,10,73,17.12,0
408,0,10,48,23197.96,0
409,0,10,48,6079.31,0
410,0,10,71,74.71,0
411,0,10,50,33496.61,0
412,1,10,57,25127.37,0
413,1,10,75,17584.78,0
414,1,10,56,465.18,0
415,1,10,51,16044.79,0
416,0,10,47,1991.54,0
417,0,10,45,176.66,0
418,0,10,51,1991.84,0
419,0,10,51,138764.25,3
420,1,10,47,5549.91,0
421,1,10,52,22011.14,0
422,1,10,51,3924.78,0
423,0,10,55,1991.54,0
424,0,10,68,600.85,0
425,0,10,63,6572.83,0
426,0,10,71,4326.59,0
427,0,10,64,10354.67,0
428,1,10,58,33337.86,0
429,1,10,63,3910.46,0
430,1,10,66,3906.98,0
431,0,10,60,68.74,0
432,1,10,76,4487.53,0
433,1,10,48,1991.54,0
434,1,10,57,2696.26,0
435,1,10,62,49514.04,0
436,1,10,67,3990.77,0
437,0,10,73,21854.95,0
438,1,10,63,30866.88,0
439,1,10,62,70037.27,3
440,1,10,64,2203.34,0
441,1,10,54,1990.21,0
442,1,10,69,1102.27,0
443,0,10,49,21393.53,0
444,0,10,63,221.88,0
445,0,10,43,54.06,0
446,0,10,73,79.02,0
447,0,10,43,6927.64,0
448,1,10,61,6199.32,0
449,1,1,79,0.0,0
450,1,10,62,36935.35,0
451,1,10,64,7180.16,0
452,1,10,52,4871.95,0
453,0,10,49,16302.82,0
